DEBUG 2015-10-06 10:16:21,548 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:16:21,554 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:16:21,554 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:17:34,483 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:17:34,483 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:17:34,492 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:17:34,492 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:17:36,003 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:17:36,003 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:17:36,010 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:17:36,011 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:19:22,268 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:19:22,269 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:19:22,275 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:19:22,275 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:19:23,737 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:19:23,737 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:19:23,743 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:19:23,743 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:21:18,487 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:21:18,487 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:21:18,494 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:21:18,494 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:21:19,976 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:21:19,977 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:21:19,983 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:21:19,983 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:22:21,282 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:22:21,282 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:22:21,288 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:22:21,288 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:22:22,743 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:22:22,743 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:22:22,749 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:22:22,749 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:24:26,927 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:24:26,927 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:24:26,933 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:24:26,933 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:24:28,430 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:24:28,430 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:24:28,437 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:24:28,437 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:25:45,859 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:25:45,859 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:25:45,870 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:25:45,870 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:25:47,276 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:25:47,276 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:25:47,282 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:25:47,282 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:26:48,797 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:26:48,797 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:26:48,803 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:26:48,803 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:26:50,211 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:26:50,211 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:26:50,217 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:26:50,217 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:41:10,367 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:41:10,367 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:41:10,373 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:41:10,373 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:41:11,755 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:41:11,755 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:41:11,761 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:41:11,761 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 13:36:24,174 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 13:36:24,238 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 13:36:24,755 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 13:36:24,756 crits.services.core Registering Service virustotal_lookup
